//Flight 0
//Date 2008/04/28
Random  Base1
  2.998472           51481.70 
  2.998611           51481.40 
  2.998750           51482.90 
  2.998889           51483.10 
  2.999028           51481.90 
  2.999167           51482.40 
  2.999306           51482.50 
  2.999444           51483.10 
  2.999583           51483.40 
  2.999722           51483.10 
  2.999861           51481.90 
  3.000000           51483.00 
  3.000139           51483.20 
  3.000278           51482.00 
  3.000417           51483.20 
  3.000556           51483.30 
  3.000694           51482.70 
  3.000833           51481.30 
  3.000972           51482.70 
  3.001111           51482.80 
  3.001250           51482.60 
  3.001389           51482.00 
  3.001528           51483.40 
  3.001667           51483.70 
  3.001806           51482.70 
  3.001944           51483.10 
  3.002083           51481.90 
  3.002222           51481.50 
  3.002361           51482.60 
  3.002500           51487.10 
  3.002639           51476.70 
  3.002778           50811.40 
  3.002917           51004.90 
  3.003056           51169.80 
  3.003194           51476.10 
  3.003333           51484.00 
  3.003472           51471.90 
  3.003611           51243.20 
  3.003750           51462.40 
  3.003889           51242.70 
  3.004028           51221.20 
  3.004167           49790.90 
  3.004306           50769.00 
  3.004444           48053.50 
  3.004583           45567.90 
  3.004722           47506.20 
  3.004861           49494.00 
  3.005000           49379.50 
  3.005139           49876.60 
  3.005278           50988.70 
  3.005417           51217.80 
  3.005556           48941.20 
  3.005694           48539.00 
  3.005833           50248.10 
  3.005972           48531.30 
  3.006111           49056.50 
  3.006250           47978.30 
  3.006389           51000.00 
  3.006528           50979.80 
  3.006667           49359.20 
  3.006806           50577.80 
  3.006944           49818.90 
  3.007083           50324.40 
  3.007222           51240.10 
  3.007361           51482.20 
  3.007500           51477.30 
  3.007639           51481.00 
  3.007778           51479.60 
  3.007917           51483.20 
  3.008056           51481.60 
  3.008194           51482.20 
  3.008333           51484.10 
  3.008472           51482.90 
  3.008611           51483.20 
  3.008750           51482.70 
  3.008889           51482.40 
  3.009028           51482.50 
  3.009167           51463.20 
  3.009306           51517.50 
  3.009444           50342.60 
  3.009583           51465.00 
  3.009722           51459.70 
  3.009861           51030.60 
  3.010000           51482.30 
  3.010139           51485.60 
  3.010278           51479.10 
  3.010417           51483.20 
  3.010556           51480.00 
  3.010694           51482.50 
  3.010833           51482.80 
  3.010972           51482.80 
  3.011111           51482.00 
  3.011250           51482.10 
  3.011389           51481.80 
  3.011528           51482.10 
  3.011667           51481.40 
  3.011806           51482.80 
  3.011944           51482.90 
  3.012083           51483.40 
  3.012222           51481.80 
  3.012361           51483.10 
  3.012500           51482.00 
  3.012639           51482.30 
  3.012778           51483.40 
  3.012917           51482.40 
  3.013056           51483.30 
  3.013194           51484.60 
  3.013333           51481.50 
  3.013472           51482.10 
  3.013611           51482.50 
  3.013750           51481.80 
  3.013889           51482.80 
  3.014028           51481.90 
  3.014167           51481.30 
  3.014306           51481.40 
  3.014444           51481.20 
  3.014583           51482.10 
  3.014722           51482.10 
  3.014861           51482.80 
  3.015000           51480.70 
  3.015139           50732.40 
  3.015278           50536.60 
  3.015417           49125.10 
  3.015556           49836.10 
  3.015694           52185.70 
  3.015833           48871.90 
  3.015972           52125.30 
  3.016111           52603.70 
  3.016250           46994.30 
  3.016389           48372.20 
  3.016528           48671.60 
  3.016667           50319.20 
  3.016806           52435.10 
  3.016944           49830.30 
  3.017083           50795.00 
  3.017222           49356.30 
  3.017361           51204.90 
  3.017500           51384.80 
  3.017639           50548.80 
  3.017778           51506.80 
  3.017917           51246.50 
  3.018056           51480.70 
  3.018194           51480.50 
  3.018333           51483.80 
  3.018472           51483.50 
  3.018611           51486.40 
  3.018750           51482.70 
  3.018889           51443.30 
  3.019028           51015.60 
  3.019167           50417.50 
  3.019306           51231.80 
  3.019444           51485.50 
  3.019583           50738.90 
  3.019722           51482.20 
  3.019861           51240.70 
  3.020000           51456.90 
  3.020139           51489.80 
  3.020278           51483.80 
  3.020417           51484.30 
  3.020556           51482.90 
  3.020694           51483.10 
  3.020833           51481.10 
  3.020972           51483.30 
  3.021111           51482.90 
  3.021250           51482.10 
  3.021389           51482.60 
  3.021528           51482.90 
  3.021667           51482.70 
  3.021806           51483.60 
  3.021944           51483.30 
  3.022083           51483.20 
  3.022222           51483.10 
  3.022361           51482.40 
  3.022500           51483.40 
  3.022639           51483.40 
  3.022778           51484.40 
  3.022917           51484.10 
  3.023056           51482.30 
  3.023194           51482.40 
  3.023333           51483.00 
  3.023472           51483.20 
  3.023611           51482.30 
  3.023750           51482.60 
  3.023889           51482.20 
  3.024028           51483.00 
  3.024167           51483.60 
  3.024306           51482.60 
  3.024444           51482.50 
  3.024583           51259.00 
  3.024722           51469.80 
  3.024861           50558.50 
  3.025000           50378.50 
  3.025139           51481.70 
  3.025278           51486.60 
  3.025417           51480.20 
  3.025556           51488.90 
  3.025694           51476.70 
  3.025833           51248.20 
  3.025972           51481.50 
  3.026111           51482.10 
  3.026250           51483.10 
  3.026389           51482.40 
  3.026528           51481.70 
  3.026667           51483.00 
  3.026806           51482.50 
  3.026944           51484.60 
  3.027083           51481.70 
  3.027222           51482.80 
  3.027361           51482.30 
  3.027500           51482.10 
  3.027639           51482.20 
  3.027778           51483.10 
  3.027917           51481.50 
  3.028056           51481.60 
  3.028194           51480.80 
  3.028333           51481.90 
  3.028472           51483.30 
  3.028611           51483.30 
  3.028750           51484.50 
  3.028889           51484.70 
  3.029028           51485.70 
  3.029167           51246.40 
  3.029306           51456.20 
  3.029444           51484.40 
  3.029583           51486.30 
  3.029722           51479.40 
  3.029861           51486.20 
  3.030000           51486.20 
  3.030139           51486.00 
  3.030278           51485.50 
  3.030417           51483.80 
  3.030556           51482.80 
  3.030694           51482.30 
  3.030833           51481.90 
  3.030972           51478.70 
  3.031111           51480.00 
  3.031250           51482.00 
  3.031389           51484.10 
  3.031528           51469.60 
  3.031667           51466.00 
  3.031806           51478.00 
  3.031944           51491.00 
  3.032083           51260.50 
  3.032222           51477.80 
  3.032361           51470.90 
  3.032500           51491.40 
  3.032639           51485.10 
  3.032778           51501.60 
  3.032917           51497.90 
  3.033056           51192.40 
  3.033194           50776.00 
  3.033333           51517.70 
  3.033472           51487.10 
  3.033611           51493.20 
  3.033750           51486.80 
  3.033889           51495.10 
  3.034028           51480.60 
  3.034167           51491.10 
  3.034306           51491.20 
  3.034444           51491.90 
  3.034583           51491.70 
  3.034722           51491.60 
  3.034861           51491.30 
  3.035000           51491.40 
  3.035139           51491.30 
  3.035278           51491.20 
  3.035417           51491.20 
  3.035556           51490.70 
  3.035694           51491.90 
  3.035833           51508.90 
  3.035972           51479.20 
  3.036111           50998.50 
  3.036250           51261.20 
  3.036389           51493.30 
  3.036528           51483.40 
  3.036667           51488.80 
  3.036806           51486.10 
  3.036944           51490.10 
  3.037083           51491.60 
  3.037222           51490.10 
  3.037361           51491.40 
  3.037500           51491.60 
  3.037639           51492.40 
  3.037778           51492.50 
  3.037917           51490.30 
  3.038056           51490.60 
  3.038194           51485.40 
  3.038333           51492.60 
  3.038472           51491.80 
  3.038611           51492.30 
  3.038750           51491.80 
  3.038889           51491.10 
  3.039028           51490.90 
  3.039167           51490.40 
  3.039306           51490.90 
  3.039444           51491.90 
  3.039583           51491.00 
  3.039722           51491.80 
  3.039861           51504.40 
  3.040000           51028.20 
  3.040139           51447.20 
  3.040278           51482.60 
  3.040417           51497.00 
  3.040556           51474.40 
  3.040694           51505.30 
  3.040833           50099.10 
  3.040972           51317.30 
  3.041111           51211.60 
  3.041250           51472.30 
  3.041389           50794.30 
  3.041528           51698.80 
  3.041667           51261.60 
  3.041806           52688.80 
  3.041944           47260.00 
  3.042083           49345.70 
  3.042222           47475.20 
  3.042361           46638.40 
  3.042500           49118.00 
  3.042639           44716.20 
  3.042778           44199.70 
  3.042917           50401.80 
  3.043056           44713.40 
  3.043194           44938.60 
  3.043333           51238.90 
  3.043472           51491.00 
  3.043611           51492.60 
  3.043750           51476.70 
  3.043889           51489.40 
  3.044028           51491.20 
  3.044167           51491.20 
  3.044306           51491.60 
  3.044444           51491.30 
  3.044583           51491.40 
  3.044722           51487.30 
  3.044861           51491.60 
  3.045000           51489.30 
  3.045139           51491.40 
  3.045278           51490.70 
  3.045417           51491.30 
  3.045556           51490.70 
  3.045694           51489.90 
  3.045833           51490.00 
  3.045972           51490.30 
  3.046111           51490.90 
  3.046250           51491.80 
  3.046389           51490.30 
  3.046528           51490.80 
  3.046667           51490.80 
  3.046806           51492.40 
  3.046944           51481.20 
  3.047083           51491.00 
  3.047222           51491.90 
  3.047361           51492.40 
  3.047500           51491.60 
  3.047639           51491.30 
  3.047778           51491.00 
  3.047917           51490.50 
  3.048056           51490.80 
  3.048194           51490.90 
  3.048333           51491.10 
