SAMPLEID,HOLEID,PROJECTCODE,SAMPFROM,SAMPTO,SAMPLETYPE,SampleDate,SampleLoggedBy,Ag_00MXB_ppm,Al_00MXB_ppm,As_00MXB_ppm,Au_00Q0I_ppm,Bi_00MXB_ppm,Ca_00MXB_ppm,Co_00MXB_ppm,Cu_00MXB_ppm,Fe_00MXB_pct,K_00MXB_ppm,Mg_00MXB_ppm,Mn_00MXB_ppm,Na_00MXB_ppm,P_00MXB_ppm,Pb_00MXB_ppm,Rb_00MXB_ppm,Sb_00MXB_ppm,Sr_00MXB_ppm,Ti_00MXB_ppm,U_00MXB_ppm,Zn_00MXB_ppm
"GJ23162","ESD8003","UNDERCOVER",440,444,"FILLET","24-Jul-2008","HATTO9",1,50800,5,0.01,10,14000,11,15,5.66,13900,9870,330,33600,1400,12,41,5,51,1940,10,13
"GJ23163","ESD8003","UNDERCOVER",444,448,"FILLET","24-Jul-2008","HATTO9",1,58000,5,0.01,10,13700,9,28,5.55,13900,9410,320,34700,1400,5,94,5,139,5730,10,18
"GJ23164","ESD8003","UNDERCOVER",448,452,"FILLET","24-Jul-2008","HATTO9",1,57700,5,0.01,10,19800,10,22,6.29,9800,20400,410,26100,1710,5,54,5,112,5540,10,17
"GJ23165","ESD8003","UNDERCOVER",452,456,"FILLET","24-Jul-2008","HATTO9",1,60300,5,0.01,10,18300,13,25,8.29,12700,18700,510,30700,1220,8,86,5,101,7130,10,20
"GJ23166","ESD8003","UNDERCOVER",456,460,"FILLET","24-Jul-2008","HATTO9",1,62800,5,0.03,10,6260,9,14,5.23,17000,10500,240,33400,440,5,116,5,109,7850,10,15
"GJ23167","ESD8003","UNDERCOVER",460,464,"FILLET","24-Jul-2008","HATTO9",1,62600,5,0.01,10,12900,10,10,5.32,11700,13300,250,33100,1690,5,69,5,111,4990,10,12
"GJ23168","ESD8003","UNDERCOVER",464,468,"FILLET","24-Jul-2008","HATTO9",1,26000,5,0.04,10,8860,9,15,4.97,5900,10600,210,8920,740,5,33,5,38,4880,10,13
"GJ23169","ESD8003","UNDERCOVER",468,472,"FILLET","24-Jul-2008","HATTO9",1,38600,5,0.03,10,17300,20,84,8.48,8700,14000,300,17100,890,5,60,5,61,4700,10,12
"GJ23170","ESD8003","UNDERCOVER",472,476,"FILLET","24-Jul-2008","HATTO9",1,38000,5,0.01,10,7900,14,78,5.53,7000,8180,230,19200,680,5,36,5,46,5030,10,14
"GJ23171","ESD8003","UNDERCOVER",476,480,"FILLET","24-Jul-2008","HATTO9",1,39900,5,0.02,10,14600,11,9,5.51,4700,13000,330,21800,1110,5,24,5,50,2050,10,8
"GJ23172","ESD8003","UNDERCOVER",480,484,"FILLET","24-Jul-2008","HATTO9",1,62300,5,0.03,10,12100,6,20,4.78,18000,8420,210,34400,920,5,100,5,94,4190,10,12
"GJ23173","ESD8003","UNDERCOVER",484,488,"FILLET","24-Jul-2008","HATTO9",1,29100,5,0.03,10,8810,5,10,3.73,10700,6960,170,12800,1150,5,47,5,38,3390,10,6
"GJ23174","ESD8003","UNDERCOVER",488,492,"FILLET","24-Jul-2008","HATTO9",1,53700,5,0.01,10,11900,8,45,4.45,10600,9020,220,28900,1330,6,57,5,107,5800,10,10
"GJ23175","ESD8003","UNDERCOVER",492,496,"FILLET","24-Jul-2008","HATTO9",1,59400,5,0.03,10,11000,8,18,4.25,12400,7730,210,32800,570,5,63,5,117,6180,10,17
"GJ23176","ESD8003","UNDERCOVER",496,500,"FILLET","24-Jul-2008","HATTO9",1,19400,5,0.03,10,36800,12,81,4.79,4500,13900,340,7860,1020,5,22,5,36,4260,10,7
"GJ23177","ESD8003","UNDERCOVER",500,504,"FILLET","24-Jul-2008","HATTO9",1,61700,5,0.02,10,21000,6,10,4.04,10900,7700,260,28000,810,5,81,5,147,7800,10,12
"GJ23178","ESD8003","UNDERCOVER",504,508,"FILLET","24-Jul-2008","HATTO9",1,52800,5,0.02,10,21400,6,12,4.23,7000,8670,300,28000,810,5,39,5,129,5270,10,11
"GJ23179","ESD8003","UNDERCOVER",508,510.9,"FILLET","24-Jul-2008","HATTO9",1,73600,5,0.03,10,18800,5,15,3.67,8000,7790,240,43100,1260,5,49,5,147,5160,10,12
