/--------------------------    S C I N T R E X    -----------------------------
/!  Revision:	4.3F
/!  Line____:	0.00000 +
/!  Date____:	08/04/28
/!  Job_____:	0      
/!  Operator:	
/!  Serial__:	0      
/!  Basefld_:	51500
/!  Duration:	0.5
/!  Cyc_Time:	0.5
/!  Station_:	0.00000 +
/!  Mag_Data:	Hours/TotFld/Time
/------------------------------------------------------------------------------
 2.984444  51481.9  02:59:04
 2.984583  51482.4  02:59:04
 2.984722  51481.4  02:59:05
 2.984861  51482.5  02:59:05
 2.985000  51482.1  02:59:06
 2.985139  51481.5  02:59:06
 2.985278  51482.8  02:59:07
 2.985417  51482.0  02:59:07
 2.985556  51482.6  02:59:08
 2.985694  51482.5  02:59:08
 2.985833  51482.6  02:59:09
 2.985972  51482.6  02:59:09
 2.986111  51482.6  02:59:10
 2.986250  51482.3  02:59:10
 2.986389  51483.1  02:59:11
 2.986528  51482.1  02:59:11
 2.986667  51482.6  02:59:12
 2.986806  51482.1  02:59:12
 2.986944  51482.0  02:59:13
 2.987083  51483.0  02:59:13
 2.987222  51482.8  02:59:14
 2.987361  51482.8  02:59:14
 2.987500  51481.8  02:59:15
 2.987639  51482.0  02:59:15
 2.987778  51483.1  02:59:16
 2.987917  51483.0  02:59:16
 2.988056  51481.9  02:59:17
 2.988194  51480.7  02:59:17
 2.988333  51481.6  02:59:18
 2.988472  51482.1  02:59:18
 2.988611  51481.5  02:59:19
 2.988750  51482.0  02:59:19
 2.988889  51483.1  02:59:20
 2.989028  51482.4  02:59:20
 2.989167  51482.8  02:59:21
 2.989306  51481.7  02:59:21
 2.989444  51482.7  02:59:22
 2.989583  51482.4  02:59:22
 2.989722  51482.6  02:59:23
 2.989861  51481.4  02:59:23
 2.990000  51481.1  02:59:24
 2.990139  51438.0  02:59:24
 2.990278  51213.3  02:59:25
 2.990417  51266.5  02:59:25
 2.990556  50985.8  02:59:26
 2.990694  51450.1  02:59:26
 2.990833  50752.5  02:59:27
 2.990972  50743.2  02:59:27
 2.991111  53288.0  02:59:28
 2.991250  48277.3  02:59:28
 2.991389  50045.2  02:59:29
 2.991528  53648.1  02:59:29
 2.991667  48442.3  02:59:30
 2.991806  49374.8  02:59:30
 2.991944  50765.4  02:59:31
 2.992083  51518.3  02:59:31
 2.992222  50757.9  02:59:32
 2.992361  49866.5  02:59:32
 2.992500  53218.6  02:59:33
 2.992639  48267.5  02:59:33
 2.992778  48852.2  02:59:34
 2.992917  51024.4  02:59:34
 2.993056  51446.9  02:59:35
 2.993194  50752.4  02:59:35
 2.993333  51474.4  02:59:36
 2.993472  51487.2  02:59:36
 2.993611  51479.6  02:59:37
 2.993750  51480.4  02:59:37
 2.993889  51483.1  02:59:38
 2.994028  51015.5  02:59:38
 2.994167  51500.5  02:59:39
 2.994306  51472.1  02:59:39
 2.994444  51492.2  02:59:40
 2.994583  51479.8  02:59:40
 2.994722  51482.4  02:59:41
 2.994861  51484.2  02:59:41
 2.995000  51484.0  02:59:42
 2.995139  51484.1  02:59:42
 2.995278  51484.1  02:59:43
 2.995417  51482.9  02:59:43
 2.995556  51483.3  02:59:44
 2.995694  51483.3  02:59:44
 2.995833  51483.9  02:59:45
 2.995972  51481.9  02:59:45
 2.996111  51483.3  02:59:46
 2.996250  51482.8  02:59:46
 2.996389  51481.7  02:59:47
 2.996528  51482.7  02:59:47
 2.996667  51482.4  02:59:48
 2.996806  51481.9  02:59:48
 2.996944  51482.2  02:59:49
 2.997083  51483.1  02:59:49
 2.997222  51483.3  02:59:50
 2.997361  51482.6  02:59:50
 2.997500  51482.8  02:59:51
 2.997639  51482.6  02:59:51
 2.997778  51483.7  02:59:52
 2.997917  51483.4  02:59:52
 2.998056  51482.8  02:59:53
 2.998194  51482.3  02:59:53
 2.998333  51482.7  02:59:54
 2.998472  51481.7  02:59:54
 2.998611  51481.4  02:59:55
 2.998750  51482.9  02:59:55
 2.998889  51483.1  02:59:56
 2.999028  51481.9  02:59:56
 2.999167  51482.4  02:59:57
 2.999306  51482.5  02:59:57
 2.999444  51483.1  02:59:58
 2.999583  51483.4  02:59:58
 2.999722  51483.1  02:59:59
 2.999861  51481.9  02:59:59
 3.000000  51483.0  03:00:00
 3.000139  51483.2  03:00:00
 3.000278  51482.0  03:00:01
 3.000417  51483.2  03:00:01
 3.000556  51483.3  03:00:02
 3.000694  51482.7  03:00:02
 3.000833  51481.3  03:00:03
 3.000972  51482.7  03:00:03
 3.001111  51482.8  03:00:04
 3.001250  51482.6  03:00:04
 3.001389  51482.0  03:00:05
 3.001528  51483.4  03:00:05
 3.001667  51483.7  03:00:06
 3.001806  51482.7  03:00:06
 3.001944  51483.1  03:00:07
 3.002083  51481.9  03:00:07
 3.002222  51481.5  03:00:08
 3.002361  51482.6  03:00:08
 3.002500  51487.1  03:00:09
 3.002639  51476.7  03:00:09
 3.002778  50811.4  03:00:10
 3.002917  51004.9  03:00:10
 3.003056  51169.8  03:00:11
 3.003194  51476.1  03:00:11
 3.003333  51484.0  03:00:12
 3.003472  51471.9  03:00:12
 3.003611  51243.2  03:00:13
 3.003750  51462.4  03:00:13
 3.003889  51242.7  03:00:14
 3.004028  51221.2  03:00:14
 3.004167  49790.9  03:00:15
 3.004306  50769.0  03:00:15
 3.004444  48053.5  03:00:16
 3.004583  45567.9  03:00:16
 3.004722  47506.2  03:00:17
 3.004861  49494.0  03:00:17
 3.005000  49379.5  03:00:18
 3.005139  49876.6  03:00:18
 3.005278  50988.7  03:00:19
 3.005417  51217.8  03:00:19
 3.005556  48941.2  03:00:20
 3.005694  48539.0  03:00:20
 3.005833  50248.1  03:00:21
 3.005972  48531.3  03:00:21
 3.006111  49056.5  03:00:22
 3.006250  47978.3  03:00:22
 3.006389  51000.0  03:00:23
 3.006528  50979.8  03:00:23
 3.006667  49359.2  03:00:24
 3.006806  50577.8  03:00:24
 3.006944  49818.9  03:00:25
 3.007083  50324.4  03:00:25
 3.007222  51240.1  03:00:26
 3.007361  51482.2  03:00:26
 3.007500  51477.3  03:00:27
 3.007639  51481.0  03:00:27
 3.007778  51479.6  03:00:28
 3.007917  51483.2  03:00:28
 3.008056  51481.6  03:00:29
 3.008194  51482.2  03:00:29
 3.008333  51484.1  03:00:30
 3.008472  51482.9  03:00:30
 3.008611  51483.2  03:00:31
 3.008750  51482.7  03:00:31
 3.008889  51482.4  03:00:32
 3.009028  51482.5  03:00:32
 3.009167  51463.2  03:00:33
 3.009306  51517.5  03:00:33
 3.009444  50342.6  03:00:34
 3.009583  51465.0  03:00:34
 3.009722  51459.7  03:00:35
 3.009861  51030.6  03:00:35
 3.010000  51482.3  03:00:36
 3.010139  51485.6  03:00:36
 3.010278  51479.1  03:00:37
 3.010417  51483.2  03:00:37
 3.010556  51480.0  03:00:38
 3.010694  51482.5  03:00:38
 3.010833  51482.8  03:00:39
 3.010972  51482.8  03:00:39
 3.011111  51482.0  03:00:40
 3.011250  51482.1  03:00:40
 3.011389  51481.8  03:00:41
 3.011528  51482.1  03:00:41
 3.011667  51481.4  03:00:42
 3.011806  51482.8  03:00:42
 3.011944  51482.9  03:00:43
 3.012083  51483.4  03:00:43
 3.012222  51481.8  03:00:44
 3.012361  51483.1  03:00:44
 3.012500  51482.0  03:00:45
 3.012639  51482.3  03:00:45
 3.012778  51483.4  03:00:46
 3.012917  51482.4  03:00:46
 3.013056  51483.3  03:00:47
 3.013194  51484.6  03:00:47
 3.013333  51481.5  03:00:48
 3.013472  51482.1  03:00:48
 3.013611  51482.5  03:00:49
 3.013750  51481.8  03:00:49
 3.013889  51482.8  03:00:50
 3.014028  51481.9  03:00:50
 3.014167  51481.3  03:00:51
 3.014306  51481.4  03:00:51
 3.014444  51481.2  03:00:52
 3.014583  51482.1  03:00:52
 3.014722  51482.1  03:00:53
 3.014861  51482.8  03:00:53
 3.015000  51480.7  03:00:54
 3.015139  50732.4  03:00:54
 3.015278  50536.6  03:00:55
 3.015417  49125.1  03:00:55
 3.015556  49836.1  03:00:56
 3.015694  52185.7  03:00:56
 3.015833  48871.9  03:00:57
 3.015972  52125.3  03:00:57
 3.016111  52603.7  03:00:58
 3.016250  46994.3  03:00:58
 3.016389  48372.2  03:00:59
 3.016528  48671.6  03:00:59
 3.016667  50319.2  03:01:00
 3.016806  52435.1  03:01:00
 3.016944  49830.3  03:01:01
 3.017083  50795.0  03:01:01
 3.017222  49356.3  03:01:02
 3.017361  51204.9  03:01:02
 3.017500  51384.8  03:01:03
 3.017639  50548.8  03:01:03
 3.017778  51506.8  03:01:04
 3.017917  51246.5  03:01:04
 3.018056  51480.7  03:01:05
 3.018194  51480.5  03:01:05
